fuel,reg_year,age,emissions,std_error,n
car_diesel,2005,17,68.31009225958167,0.13169545341209843,36365
car_diesel,2005,18,70.63117299444585,0.13832107177062644,35177
car_diesel,2005,19,71.96581778222307,0.17873357634210085,22833
car_diesel,2006,0,9.108708220221791,0.005773358920493831,53161
car_diesel,2006,1,14.107934544253089,0.015375018648143361,53161
car_diesel,2006,2,19.10716086828439,0.027131068434536696,53161
car_diesel,2006,3,24.14734183842429,0.039308481052092045,53161
car_diesel,2006,4,28.39204805979503,0.04794664455979239,51854
car_diesel,2006,5,32.2791714217557,0.05470759331251708,51841
car_diesel,2006,6,35.98376446265328,0.06080096194812536,51726
car_diesel,2006,7,39.51058067468149,0.06649849775961564,51655
car_diesel,2006,8,42.96450817780893,0.07201157351678213,51645
car_diesel,2006,9,46.27423413383603,0.07703445923944578,51402
car_diesel,2006,10,49.47493550076951,0.08238863351630057,50761
car_diesel,2006,11,52.78956281451513,0.09127725421443457,45732
car_diesel,2006,12,55.60641444759901,0.09133656225224991,50791
car_diesel,2006,13,58.408387668777415,0.09587722308146565,49938
car_diesel,2006,14,60.915204187191456,0.10282899550889117,47099
car_diesel,2006,15,63.36084662043112,0.10360637489891658,49950
car_diesel,2006,16,65.91973239828411,0.106886700988765,50073
car_diesel,2006,17,68.38103071761131,0.11226251250400404,48598
car_diesel,2006,18,70.02793899416695,0.1424379878643247,32325
car_diesel,2007,0,8.972203302721192,0.005125635274984994,73079
car_diesel,2007,1,13.938387778124364,0.013081381302625,73079
car_diesel,2007,2,18.904572253527537,0.02294933601631267,73079
car_diesel,2007,3,23.90944584182236,0.033172585543886385,73079
car_diesel,2007,4,28.16259034607528,0.04031731266956551,71359
car_diesel,2007,5,32.124990709055346,0.04602444567030202,71238
car_diesel,2007,6,35.88789861876813,0.051091931386019966,71185
car_diesel,2007,7,39.56489718886786,0.05597801773226814,71064
car_diesel,2007,8,43.06831220422264,0.06099867308773443,70833
car_diesel,2007,9,46.39075912517769,0.06537538376560403,69781
car_diesel,2007,10,49.83860939857682,0.0732056798149137,62947
car_diesel,2007,11,52.837444353187,0.07303670556635397,69740
car_diesel,2007,12,55.85379679512616,0.07690298610457895,69055
car_diesel,2007,13,58.363749624338375,0.08175432029730505,64923
car_diesel,2007,14,60.92074850644475,0.08276854619041255,68935
car_diesel,2007,15,63.53186890028162,0.08562833624361507,69005
car_diesel,2007,16,66.11344484103564,0.09057939037811398,67196
car_diesel,2007,17,67.96916932935542,0.11516694390397092,45596
car_diesel,2008,0,8.713072851548704,0.004332613874752935,90902
car_diesel,2008,1,13.517564583661942,0.011447392627181441,90902
car_diesel,2008,2,18.322056315775182,0.020181209774259523,90902
car_diesel,2008,3,23.158742201572075,0.02921804581157123,90902
car_diesel,2008,4,27.249783284577816,0.03531435767684813,88985
car_diesel,2008,5,31.04402591425921,0.04017298565409791,88735
car_diesel,2008,6,34.70809341651489,0.04457467354448175,88610
car_diesel,2008,7,38.199178266794135,0.048660469226661486,88256
car_diesel,2008,8,41.556309280837716,0.052749233085341296,87280
car_diesel,2008,9,44.941159053603734,0.059479837906451206,78206
car_diesel,2008,10,47.95999081521443,0.05999639982216139,87130
car_diesel,2008,11,50.97526984188639,0.06342117142532396,86459
car_diesel,2008,12,53.448562475226446,0.06844372755519676,80699
car_diesel,2008,13,55.97653804446205,0.06877847647330886,86114
car_diesel,2008,14,58.61308310767268,0.07192151757629475,86511
car_diesel,2008,15,61.18992818560495,0.07559863797586229,84458
car_diesel,2008,16,62.87342837264216,0.09263033766593379,60116
car_diesel,2009,0,8.579962182040545,0.0038043709149105137,116856
car_diesel,2009,1,13.09905620714123,0.009756688197141839,116856
car_diesel,2009,2,17.618150232241916,0.017101673046322187,116856
car_diesel,2009,3,22.163473110688926,0.02468902687878729,116856
car_diesel,2009,4,26.061180824160253,0.02983672752783024,114477
car_diesel,2009,5,29.78186716116397,0.033930152558603516,114324
car_diesel,2009,6,33.36022495215485,0.037714184162235515,114096
car_diesel,2009,7,36.77833897228059,0.0415761474569702,112337
car_diesel,2009,8,40.238471015442194,0.04744821480368416,100827
car_diesel,2009,9,43.320749637152225,0.04796739627546504,112602
car_diesel,2009,10,46.373151891040024,0.05137127439573511,111189
car_diesel,2009,11,48.85793405596967,0.055265406403130136,105786
car_diesel,2009,12,51.393881428947424,0.05631647011976235,111439
car_diesel,2009,13,54.04882561905648,0.05886517604387079,111776
car_diesel,2009,14,56.617263645011036,0.06199803121770631,109347
car_diesel,2009,15,58.33223234574619,0.07488616469073575,78921
car_diesel,2010,0,8.560685120011996,0.0034558168963883702,135078
car_diesel,2010,1,13.06497388837433,0.009301341898152685,135078
car_diesel,2010,2,17.56926265673667,0.01641115674520977,135078
car_diesel,2010,3,22.107809915117024,0.02377855903502171,135078
car_diesel,2010,4,26.049146343157926,0.02868703197532007,132344
car_diesel,2010,5,29.773799640288374,0.03250793914268324,132057
car_diesel,2010,6,33.32973397545037,0.036242272214442976,130392
car_diesel,2010,7,36.878377736824994,0.042062829616420584,116345
car_diesel,2010,8,40.078312717373564,0.04276227767146994,130256
car_diesel,2010,9,43.22398654213263,0.04597778861663839,129027
car_diesel,2010,10,45.858286156639046,0.049686958558029994,122559
car_diesel,2010,11,48.335922787973175,0.05069415023120856,129259
car_diesel,2010,12,51.04717744580898,0.05329203087129395,129517
car_diesel,2010,13,53.62688948450784,0.055652259618478674,127156
car_diesel,2010,14,55.34221873624907,0.06620406955603043,94509
car_diesel,2011,0,8.179543887255969,0.0028210694409030916,148505
car_diesel,2011,1,12.36257858937539,0.00763715039067391,148505
car_diesel,2011,2,16.54561329149481,0.013707599184851763,148505
car_diesel,2011,3,20.764906991608598,0.020027748696204984,148505
car_diesel,2011,4,24.389175846056133,0.024068614907544948,145532
car_diesel,2011,5,27.770931795262296,0.027241198275537434,143652
car_diesel,2011,6,31.08935111061751,0.03198467522468798,127508
car_diesel,2011,7,34.138587091368215,0.03279071582165134,143274
car_diesel,2011,8,37.11717990974937,0.035492378998819823,142351
car_diesel,2011,9,39.5860982489976,0.03864840545801956,134680
car_diesel,2011,10,41.929068423506294,0.039559515189475855,142710
car_diesel,2011,11,44.440140015444534,0.041601421887705464,142949
car_diesel,2011,12,46.905475449590426,0.04410808554372434,140594
car_diesel,2011,13,48.65892566963393,0.051411365671112964,107286
car_diesel,2012,0,8.295761003491988,0.0025590492302379197,162146
car_diesel,2012,1,12.310841520621656,0.0068167414546091275,162146
car_diesel,2012,2,16.325922037751326,0.01224651686857489,162146
car_diesel,2012,3,20.374300485931034,0.01791596555584842,162146
car_diesel,2012,4,23.893697880484037,0.021728373944313078,157752
car_diesel,2012,5,27.268165409948043,0.02639607117320012,138578
car_diesel,2012,6,30.393325107224005,0.027468552562819906,157020
car_diesel,2012,7,33.43020693520566,0.030184935122375477,155906
car_diesel,2012,8,35.98076556787206,0.03318492248539472,148154
car_diesel,2012,9,38.28682888807657,0.0343170388417541,155843
